	GSM484148	GSM484150	GSM484151	GSM484152	GSM484153	GSM484159	GSM484160	GSM484161	GSM484162	GSM484163	GSM484164	GSM484165	GSM484166	GSM484167	GSM484168	GSM484169	GSM484170	GSM484172	GSM484173	GSM484174	GSM484175	GSM484176	GSM484177	GSM484178	GSM484179	GSM484180	GSM484181	GSM484182	GSM484183	GSM484184	GSM484185	GSM484186	GSM484187	GSM484188	GSM484189	GSM484190	GSM484191	GSM484192	GSM484193	GSM484194	GSM484196	GSM484197	GSM484198	GSM484199	GSM484200	GSM484202	GSM484203	GSM689005	GSM689006	GSM689007	GSM689008	GSM689009	GSM689010	GSM689011	GSM689012	GSM689013	GSM689014	GSM689015	GSM689016	GSM689017	GSM689018	GSM689019	GSM689020	GSM689021	GSM689022	GSM689023	GSM689024	GSM689025	GSM689026	GSM689027	GSM689028	GSM689029	GSM689030	GSM689031	GSM689032	GSM689033	GSM689034	GSM689035	GSM689036	GSM689037	GSM689038	GSM689039	GSM689040	GSM689041	GSM689042	GSM689043	GSM689044	GSM689045	GSM689046	GSM689047	GSM689048	GSM689049	GSM689050	GSM689051
ABCC5_P444_F	0.0479	0.04219	0.04114	0.03549	0.04815	0.03657	0.03272	0.04091	0.02603	0.05433	0.03104	0.03291	0.03683	0.04454	0.03974	0.02432	0.03785	0.03903	0.07263	0.032	0.03818	0.04006	0.03511	0.03334	0.03026	0.03128	0.03122	0.03349	0.03377	0.0291	0.03558	0.04034	0.05757	0.04113	0.03861	0.02792	0.04805	0.0318	0.03455	0.03792	0.04518	0.03765	0.03888	0.05838	0.03327	0.03848	0.02393	0.0473	0.05292	0.04037	0.03676	0.04169	0.0246	0.03095	0.0301	0.02021	0.04169	0.02526	0.04955	0.05214	0.02254	0.06088	0.04439	0.04395	0.07105	0.0461	0.04493	0.03124	0.02939	0.05914	0.05366	0.06078	0.03888	0.03431	0.04898	0.0256	0.05846	0.03826	0.04425	0.06392	0.04268	0.04038	0.06051	0.03578	0.0481	0.03869	0.0406	0.04732	0.06269	0.02986	0.05195	0.03404	0.02966	0.0242
ABCG2_P178_R	0.12297	0.10275	0.12133	0.11072	0.12859	0.12347	0.07597	0.14197	0.10246	0.12361	0.09014	0.12172	0.10355	0.11263	0.10852	0.09223	0.07645	0.10618	0.16373	0.13068	0.12796	0.11322	0.10175	0.0993	0.09909	0.08839	0.10671	0.1039	0.11066	0.11844	0.10797	0.08441	0.1077	0.11952	0.1133	0.10613	0.07755	0.1047	0.11489	0.12931	0.11521	0.115	0.1153	0.09451	0.10672	0.11172	0.10373	0.12576	0.10023	0.11116	0.12062	0.12438	0.11291	0.08119	0.10829	0.09595	0.0932	0.1215	0.09058	0.10647	0.07199	0.12154	0.08984	0.10656	0.1193	0.08899	0.08112	0.10676	0.03096	0.10935	0.13064	0.11822	0.10782	0.12585	0.10896	0.10253	0.12811	0.12611	0.09375	0.52871	0.14363	0.12967	0.13449	0.12141	0.13083	0.11921	0.08982	0.10703	0.14659	0.08975	0.1024	0.12165	0.13198	0.09919
ABCG2_P310_R	0.02821	0.02551	0.02189	0.02628	0.02347	0.01977	0.02705	0.03272	0.02372	0.03028	0.02506	0.03622	0.02137	0.02999	0.01709	0.02148	0.01344	0.02878	0.03023	0.06428	0.01836	0.02677	0.03067	0.02033	0.022	0.02445	0.0255	0.02296	0.03027	0.02436	0.02604	0.02491	0.03051	0.01995	0.02261	0.03232	0.01941	0.02126	0.03778	0.03089	0.02027	0.02092	0.02539	0.0607	0.01805	0.02149	0.02055	0.02005	0.04209	0.02204	0.036	0.01664	0.01983	0.04114	0.02208	0.02102	0.02142	0.01931	0.01841	0.01708	0.02158	0.05998	0.0244	0.02507	0.22168	0.03008	0.02646	0.02296	0.01691	0.03026	0.02007	0.03426	0.02271	0.02679	0.02298	0.12198	0.02837	0.03391	0.02194	0.74944	0.03267	0.02454	0.04032	0.01932	0.12908	0.02487	0.02859	0.0338	0.03819	0.05923	0.30514	0.02619	0.03593	0.03019
ABL1_P53_F	0.10207	0.0976	0.11204	0.11187	0.16535	0.09742	0.16003	0.13704	0.06542	0.15312	0.06503	0.11506	0.09007	0.0984	0.11204	0.08398	0.07541	0.10918	0.16469	0.12237	0.10204	0.10758	0.08276	0.08984	0.08426	0.15002	0.05538	0.10319	0.09767	0.10445	0.08453	0.10853	0.09295	0.11369	0.07356	0.07385	0.14625	0.07897	0.1093	0.08166	0.07564	0.09067	0.08786	0.05177	0.09602	0.0989	0.04616	0.17789	0.17043	0.11496	0.08944	0.13498	0.11242	0.08741	0.1304	0.02704	0.14903	0.06103	0.25734	0.11458	0.03661	0.17621	0.10417	0.1168	0.26773	0.1982	0.17436	0.09762	0.04018	0.16832	0.09855	0.12586	0.10343	0.1251	0.12199	0.06174	0.1713	0.11347	0.13328	0.09702	0.09329	0.12112	0.14972	0.0897	0.11028	0.15445	0.0923	0.07685	0.16393	0.05074	0.10227	0.04891	0.12891	0.09908
ABL2_P459_R	0.31372	0.43456	0.29022	0.29656	0.29791	0.47205	0.25295	0.36191	0.2897	0.29928	0.26715	0.29391	0.31418	0.28081	0.35608	0.25052	0.27234	0.33632	0.49717	0.26435	0.32774	0.31277	0.33843	0.41672	0.34583	0.2629	0.2494	0.40538	0.20673	0.31445	0.30312	0.35755	0.29833	0.34051	0.48598	0.45505	0.26163	0.4252	0.32757	0.34349	0.27981	0.30458	0.33393	0.17111	0.41552	0.26769	0.3961	0.27686	0.43415	0.30996	0.22167	0.33729	0.60686	0.26363	0.35579	0.25437	0.31298	0.26152	0.35582	0.33095	0.28524	0.38028	0.29509	0.3445	0.24281	0.43838	0.31532	0.39213	0.14955	0.37176	0.51807	0.36822	0.40964	0.41856	0.50436	0.25748	0.3847	0.23566	0.38355	0.1155	0.33653	0.36888	0.35084	0.34023	0.40069	0.33216	0.33626	0.34232	0.32476	0.31145	0.43304	0.40429	0.29139	0.44292
ABO_E110_F	0.13242	0.10503	0.13376	0.13385	0.14551	0.16511	0.08983	0.30555	0.10247	0.12021	0.10087	0.11971	0.15471	0.12855	0.10796	0.10771	0.09065	0.12466	0.24512	0.12179	0.18924	0.1299	0.13354	0.10468	0.1095	0.09702	0.08562	0.12619	0.09839	0.12286	0.09225	0.12831	0.10869	0.21141	0.11129	0.12472	0.11624	0.09604	0.10938	0.141	0.0907	0.15315	0.14415	0.23667	0.1884	0.20987	0.20037	0.17601	0.15047	0.15391	0.84385	0.13075	0.19087	0.15934	0.17308	0.15916	0.12328	0.12702	0.24488	0.19234	0.05702	0.16239	0.13035	0.17914	0.58489	0.16775	0.14103	0.14178	0.08378	0.2051	0.17702	0.22622	0.15184	0.18656	0.16912	0.29191	0.18266	0.19793	0.12725	0.08638	0.13914	0.1345	0.14885	0.08735	0.20059	0.17991	0.1657	0.13595	0.24965	0.10859	0.15247	0.16543	0.23147	0.12269
ABO_P312_F	0.11683	0.10794	0.10355	0.12204	0.13359	0.11363	0.16594	0.12197	0.09708	0.12333	0.10171	0.09563	0.10004	0.11701	0.10578	0.09957	0.09803	0.07767	0.10918	0.10595	0.106	0.06777	0.08394	0.09423	0.09838	0.1054	0.10285	0.10521	0.11806	0.10049	0.06951	0.1166	0.08941	0.0892	0.09072	0.10694	0.11016	0.1082	0.12043	0.1216	0.10569	0.11545	0.11263	0.0927	0.11587	0.09541	0.29925	0.14364	0.11959	0.09388	0.34407	0.13406	0.14636	0.09788	0.10834	0.12739	0.10035	0.14285	0.09763	0.11497	0.08916	0.11986	0.09835	0.13551	0.58037	0.12017	0.08858	0.12192	0.09915	0.14978	0.12264	0.10468	0.1101	0.08671	0.12024	0.10353	0.11481	0.15264	0.10898	0.08023	0.09162	0.11779	0.10794	0.10879	0.14594	0.12165	0.125	0.10778	0.14101	0.13926	0.13382	0.1313	0.13056	0.08962
ACTG2_E98_R	0.92935	0.88218	0.88248	0.88023	0.92911	0.88266	0.83413	0.87263	0.82904	0.83957	0.86314	0.84552	0.85935	0.78923	0.86154	0.84319	0.82885	0.86585	0.87128	0.79577	0.87265	0.86952	0.83128	0.87244	0.89731	0.84475	0.85591	0.88597	0.82316	0.82375	0.8528	0.87451	0.93459	0.87075	0.87694	0.90876	0.87274	0.87724	0.89651	0.90068	0.90878	0.89888	0.87352	0.90585	0.89956	0.90635	0.79822	0.90161	0.88745	0.89221	0.87442	0.91878	0.88089	0.90664	0.89951	0.797	0.88979	0.86046	0.91915	0.86101	0.91618	0.85886	0.88106	0.87351	0.90025	0.88821	0.91804	0.90719	0.83034	0.83616	0.94996	0.87792	0.87382	0.91394	0.84649	0.85471	0.90541	0.85293	0.79541	0.88651	0.93243	0.85824	0.85214	0.80137	0.88071	0.84642	0.88879	0.76666	0.84256	0.87975	0.84067	0.82648	0.87065	0.91604
ACTG2_P346_F	0.82032	0.72643	0.79297	0.74963	0.77433	0.69192	0.59649	0.78158	0.7734	0.72886	0.77341	0.74371	0.68887	0.72498	0.77293	0.75102	0.74226	0.76442	0.71265	0.74827	0.73636	0.74172	0.78028	0.76235	0.78319	0.78669	0.75403	0.74331	0.75046	0.62178	0.7591	0.7768	0.83274	0.72849	0.79339	0.83456	0.74179	0.81221	0.78129	0.82733	0.78944	0.79353	0.75996	0.64204	0.76666	0.77797	0.731	0.75068	0.77576	0.75462	0.77617	0.80857	0.79302	0.77408	0.8351	0.60167	0.79411	0.80901	0.80418	0.73791	0.82773	0.72363	0.75202	0.70819	0.75978	0.75744	0.82541	0.76742	0.59919	0.72147	0.80425	0.74985	0.85214	0.83583	0.69228	0.73873	0.78472	0.8166	0.65358	0.72487	0.81976	0.75201	0.67147	0.75639	0.75276	0.67883	0.82697	0.60989	0.69807	0.68833	0.65396	0.71956	0.83757	0.68197
ACTG2_P455_R	0.96784	0.93488	0.96783	0.95139	0.96625	0.95117	0.92315	0.94847	0.94317	0.93158	0.93673	0.93	0.93702	0.90736	0.95002	0.94932	0.94147	0.94315	0.93504	0.92765	0.93898	0.95568	0.93275	0.93658	0.95157	0.94189	0.9394	0.94456	0.94129	0.91941	0.92768	0.93935	0.96884	0.95649	0.96202	0.95624	0.94382	0.94166	0.94989	0.94995	0.95961	0.96344	0.95598	0.96444	0.95897	0.95468	0.9642	0.96507	0.94419	0.95267	0.93629	0.95933	0.95363	0.95382	0.96128	0.90962	0.96156	0.9609	0.95046	0.94177	0.95127	0.93522	0.94699	0.92948	0.94804	0.94492	0.96472	0.95019	0.94482	0.92988	0.96248	0.93599	0.96605	0.96457	0.94606	0.95385	0.95313	0.95199	0.92621	0.94883	0.96078	0.9363	0.90288	0.866	0.92084	0.91038	0.92557	0.94057	0.92187	0.93807	0.91919	0.95218	0.94305	0.94449
ACVR1_E328_R	0.85362	0.76625	0.70706	0.67668	0.83867	0.62117	0.58017	0.808	0.58127	0.74982	0.7898	0.69316	0.76355	0.6825	0.70269	0.69186	0.63969	0.60858	0.79844	0.62953	0.75911	0.77915	0.7401	0.73336	0.79822	0.7901	0.76645	0.72559	0.60533	0.59177	0.6781	0.59785	0.83217	0.73947	0.7159	0.77999	0.78377	0.73048	0.79794	0.77223	0.80742	0.79846	0.7036	0.73204	0.74628	0.72493	0.48087	0.86452	0.83199	0.81026	0.27101	0.84458	0.47376	0.85726	0.85917	0.42045	0.8675	0.40384	0.84004	0.87611	0.2118	0.76206	0.66463	0.79448	0.86717	0.85169	0.81628	0.88256	0.8876	0.8671	0.91014	0.87377	0.87954	0.7576	0.70977	0.52735	0.82046	0.64703	0.86249	0.88665	0.84909	0.89146	0.8505	0.66199	0.84649	0.89313	0.82407	0.51759	0.85677	0.86294	0.78732	0.90899	0.8843	0.92709
ACVR1_P983_F	0.94095	0.86877	0.87855	0.87985	0.93489	0.8507	0.83052	0.86938	0.83569	0.87331	0.88693	0.86592	0.847	0.82817	0.88478	0.87019	0.84929	0.87103	0.87934	0.8264	0.87352	0.89769	0.8952	0.88139	0.90097	0.90115	0.86728	0.89485	0.8218	0.82023	0.85796	0.84667	0.94131	0.87434	0.87534	0.9061	0.90868	0.8913	0.91592	0.9036	0.91197	0.90833	0.85149	0.86918	0.88963	0.90193	0.92191	0.93767	0.91825	0.91357	0.52805	0.91965	0.75761	0.88835	0.8402	0.77562	0.91302	0.73867	0.84089	0.90113	0.50299	0.87971	0.92577	0.91393	0.79814	0.90314	0.88782	0.91721	0.89679	0.92079	0.94841	0.91948	0.87151	0.84713	0.87954	0.83172	0.93245	0.8653	0.88862	0.70569	0.92383	0.87753	0.90014	0.8777	0.82259	0.8665	0.85259	0.84103	0.88914	0.89037	0.86397	0.61574	0.77326	0.90615
ACVR1B_E497_R	0.05656	0.04078	0.04846	0.04317	0.04705	0.04921	0.17154	0.04373	0.03464	0.06478	0.05736	0.02697	0.06301	0.04852	0.03871	0.03894	0.05788	0.06681	0.06033	0.06454	0.04811	0.04666	0.06158	0.04322	0.04147	0.03884	0.03967	0.04079	0.04518	0.04682	0.03801	0.05348	0.03852	0.04686	0.05227	0.0432	0.05502	0.03621	0.04404	0.05275	0.04122	0.04546	0.04051	0.02693	0.03853	0.03616	0.02689	0.05556	0.06601	0.04705	0.03876	0.04092	0.03513	0.03946	0.05386	0.02727	0.04195	0.03899	0.03464	0.03785	0.02814	0.07256	0.04344	0.05042	0.03333	0.04557	0.02768	0.03776	0.0459	0.07284	0.03525	0.07172	0.04278	0.03776	0.05021	0.0376	0.07527	0.03834	0.05161	0.03134	0.03178	0.05332	0.05774	0.03328	0.04877	0.04043	0.06903	0.05765	0.08604	0.07777	0.06356	0.06613	0.05652	0.02785
ACVR1B_P572_R	0.20856	0.15531	0.21311	0.16691	0.20145	0.17431	0.12005	0.14654	0.15416	0.16894	0.13543	0.13543	0.17987	0.13724	0.16955	0.13209	0.41617	0.58434	0.2086	0.16165	0.23193	0.20085	0.17796	0.14788	0.14202	0.13893	0.16091	0.17359	0.12682	0.18329	0.1342	0.13338	0.2238	0.21416	0.14711	0.18254	0.13812	0.16008	0.14966	0.56281	0.19609	0.21014	0.17611	0.56571	0.21285	0.20408	0.40961	0.202	0.14907	0.17226	0.11299	0.18139	0.10384	0.10226	0.14844	0.09518	0.12369	0.19938	0.11664	0.14357	0.12612	0.15584	0.21426	0.13315	0.63398	0.18005	0.087	0.21808	0.06038	0.12938	0.1432	0.14001	0.1642	0.211	0.14246	0.1391	0.19385	0.14692	0.16169	0.12175	0.14362	0.16173	0.1904	0.18875	0.1295	0.18082	0.38309	0.14576	0.27083	0.10447	0.18091	0.22923	0.11752	0.15976
ACVR1C_P115_R	0.14992	0.09894	0.11302	0.15074	0.24266	0.12865	0.08159	0.13018	0.09741	0.10549	0.09382	0.13019	0.09327	0.11701	0.09937	0.0927	0.09435	0.09735	0.15807	0.08692	0.14902	0.09412	0.1049	0.10094	0.08675	0.11035	0.093	0.10108	0.10254	0.11908	0.09214	0.12609	0.14088	0.14321	0.13183	0.12246	0.08755	0.11522	0.09898	0.16043	0.13759	0.14239	0.13423	0.17505	0.11029	0.11669	0.27963	0.17952	0.09531	0.11083	0.08022	0.18404	0.09859	0.06384	0.10097	0.04533	0.0976	0.12396	0.10877	0.10732	0.07319	0.10584	0.08172	0.07964	0.11915	0.09836	0.07576	0.10205	0.03937	0.11119	0.1142	0.10073	0.09598	0.18258	0.12378	0.07658	0.13451	0.08454	0.07998	0.09216	0.0955	0.08239	0.12569	0.10215	0.12532	0.09854	0.12349	0.11446	0.13044	0.06245	0.11656	0.11098	0.13061	0.05128
ACVR1C_P363_F	0.18447	0.16488	0.19312	0.18612	0.15244	0.176	0.11728	0.1585	0.11338	0.1702	0.11009	0.15062	0.12204	0.1555	0.14973	0.12498	0.11818	0.15754	0.13728	0.12291	0.13501	0.15362	0.12007	0.11564	0.11517	0.13548	0.1263	0.11996	0.16727	0.16114	0.16513	0.16069	0.14417	0.13639	0.1619	0.12413	0.17501	0.09801	0.15105	0.1295	0.18068	0.15998	0.21028	0.1173	0.17634	0.14401	0.0599	0.17761	0.16426	0.12236	0.18955	0.17532	0.14578	0.08165	0.23213	0.09152	0.14739	0.17852	0.2338	0.18715	0.20435	0.1737	0.11454	0.11055	0.36606	0.19968	0.10138	0.11228	0.08452	0.18756	0.13741	0.15975	0.11612	0.33917	0.17191	0.10458	0.13972	0.1092	0.14443	0.12307	0.1137	0.16568	0.20221	0.10408	0.14464	0.11662	0.12103	0.15529	0.193	0.07567	0.16102	0.20228	0.11598	0.10926
