	logFC	AveExpr	t	P.Value	adj.P.Val	B
FLT3	0.168969574468085	0.171938617021277	4.81043678074204	5.75773634121914e-06	5.21436923901704e-05	3.23618245154601
SPDEF	-0.107958085106383	0.335949042553191	-4.80985779624057	5.77111178797459e-06	5.21436923901704e-05	3.23394346747563
PTHR1	-0.0189385106382979	0.931202659574468	-4.79862270436995	6.03672214072277e-06	5.39093326055243e-05	3.19052843433926
MT1A	0.144535106382979	0.21588585106383	4.79212802577561	6.19564539988909e-06	5.4692593874883e-05	3.16545933331323
EPM2A	-0.0327012765957447	0.116817446808511	-4.78800511603085	6.29863468938425e-06	5.49699027437171e-05	3.14955574483224
PODXL	0.158466808510638	0.189595319148936	4.75944770712471	7.05908977643954e-06	6.03111885641871e-05	3.03962647135265
B3GALT5	-0.0998972340425533	0.768079468085106	-4.75914118559447	7.06771740986568e-06	6.03111885641871e-05	3.03844870450613
APOC1	-0.055493829787234	0.816382872340426	-4.7341206575434	7.8076087907553e-06	6.5295909740552e-05	2.94246640653109
TNFRSF1B	0.0400372340425532	0.130293936170213	4.7336602235019	7.82190585433696e-06	6.5295909740552e-05	2.94070300521223
TAL1	0.130439574468085	0.131209574468085	4.70274143902849	8.84242163840095e-06	7.30212883687305e-05	2.82252842338908
TWIST1	0.221800425531915	0.184159574468085	4.66172956087706	1.03973367466727e-05	8.49484534196238e-05	2.66651289139245
MYH11	0.173565957446809	0.180428936170213	4.64906548114112	1.09289296564539e-05	8.83517681700693e-05	2.61850775125661
EYA4	0.158741489361702	0.243718829787234	4.63779289590819	1.14242177862503e-05	9.13937422900025e-05	2.57584558992473
HLA-DOB	-0.0748634042553191	0.840610212765957	-4.63426391680084	1.15836973935884e-05	9.17142226626379e-05	2.56250309430162
HOXC6	0.142176808510638	0.205782659574468	4.61267723416695	1.26072633697898e-05	9.87997782448831e-05	2.48102546671424
RAP1A	-0.0638853191489362	0.349159468085106	-4.60651842783945	1.29150221130639e-05	0.000100189262452859	2.45782308610516
AGXT	-0.0313778723404256	0.933184042553192	-4.60104014674524	1.31948846014275e-05	0.000101336713738964	2.43720082422649
KLK11	-0.0818212765957447	0.757534468085106	-4.58802084789864	1.38837723536947e-05	0.000105571655125124	2.38825328273463
MYB	-0.0196206382978723	0.101787978723404	-4.57875764415	1.43950024353494e-05	0.00010838590068969	2.35348038956042
MKRN3	-0.0697704255319149	0.921170319148936	-4.57037592064164	1.4873266822962e-05	0.000110899698252765	2.32205467894096
RAD50	-0.103116382978723	0.664680531914894	-4.56247194337577	1.53383498357625e-05	0.000113267814171785	2.29245353386482
SFRP1	0.105102340425532	0.112276489361702	4.52768413609158	1.75582032960749e-05	0.000128425715537005	2.16255651379311
CFTR	0.0920151063829787	0.116542234042553	4.50613998378336	1.90856690519915e-05	0.000137236890715574	2.08242893764738
SFN	-0.0954604255319148	0.851180638297872	-4.50457380407254	1.9201589648725e-05	0.000137236890715574	2.0766134940003
WEE1	-0.0614819148936169	0.884093723404255	-4.50326560499732	1.92989377568775e-05	0.000137236890715574	2.07175696109986
SNURF	-0.0716244680851063	0.815177553191489	-4.47824904262658	2.1255050166478e-05	0.00014976035346656	1.97906027276224
GABRB3	0.0904068085106383	0.161828723404255	4.46030500778619	2.27748473378063e-05	0.00015900984323123	1.91277511997382
ZIM2	0.0700359574468085	0.683886276595745	4.44703744374138	2.39655879255769e-05	0.000165815959701289	1.86387547409513
CHD2	-0.0278817021276597	0.931347021276596	-4.42967852137153	2.56146847994207e-05	0.000175643552910313	1.80003920842454
THY1	0.117131063829787	0.168731489361702	4.42354152328533	2.62235251602256e-05	0.000177005408046701	1.7775096517261
MMP7	-0.0827827659574468	0.303428404255319	-4.42303655332026	2.62742402569322e-05	0.000177005408046701	1.77565676003607
SPARC	0.0675212765957447	0.228707234042553	4.38411508861534	3.04817152618094e-05	0.000203564846270171	1.63325783543781
S100A2	-0.0998693617021277	0.351237872340426	-4.34771576601949	3.50002168582002e-05	0.000231725573681877	1.50083498245083
IGF1R	0.0108146808510638	0.0379405319148936	4.33922552009088	3.61436101582741e-05	0.00023725036411585	1.47005183171747
DSP	-0.0571589361702127	0.241560106382979	-4.32654654555193	3.79184418953799e-05	0.000245125066709478	1.42415581039825
CHGA	0.128497234042553	0.222099680851064	4.32610585319212	3.79816184094113e-05	0.000245125066709478	1.42256217120115
PDGFRA	0.130254893617021	0.528214042553191	4.31291128636878	3.99208793456e-05	0.00025549362781184	1.37489773217132
TJP2	0.156242978723404	0.182658936170213	4.30724988477387	4.07819181184547e-05	0.000258847215826225	1.35447602597984
IL2	-0.068121489361702	0.824545425531915	-4.24385111170831	5.17323218074565e-05	0.000325659206132185	1.12701260259188
DBC1	0.133618936170213	0.334243510638298	4.23938463873367	5.2602348008724e-05	0.000328443929030082	1.11107324358533
SMAD2	0.00747574468085106	0.0390251063829787	4.19311617478057	6.24844261050073e-05	0.000387000316521335	0.946625719437947
SFTPA1	-0.0624678723404255	0.890081170212766	-4.17594701072247	6.658739026421e-05	0.000409112925783306	0.885915421110908
CD2	-0.103608936170213	0.77129829787234	-4.15922085599448	7.08328243311507e-05	0.000431742929256538	0.82693537014637
CSF1R	-0.0634236170212765	0.900786489361702	-4.14981309165736	7.33337855739414e-05	0.00044346730173848	0.793832839954183
EDNRB	-0.02435	0.944896489361702	-4.14117058242602	7.57059223149816e-05	0.00045423553388989	0.76346833657081
AGTR1	0.157123404255319	0.184412978723404	4.13244687482068	7.81750175889888e-05	0.000465414058204212	0.732862715265276
SCGB3A1	0.134871063829787	0.186814255319149	4.10373458153828	8.68595866323993e-05	0.000510831713997915	0.632445189751524
TFDP1	-0.041522340425532	0.798356489361702	-4.1028728092461	8.71340553824569e-05	0.000510831713997915	0.629438736903771
EPHB1	-0.0519925531914893	0.809391170212766	-4.05599338298391	0.000103385918407806	0.000601518070736326	0.466552704907438
IAPP	-0.0214210638297873	0.928783085106383	-4.04727865624395	0.00010671158260605	0.000616199213845464	0.436416648175122
IGSF4	0.0172102127659574	0.0445176595744681	4.04330862283806	0.000108260382908806	0.000618363712566609	0.42270306450204
TRAF4	-0.0532525531914893	0.323776914893617	-4.04219992361818	0.000108696746349599	0.000618363712566609	0.418874996448199
FGF3	0.0706157446808511	0.0679104255319149	4.03008899786725	0.000113574501973094	0.000641361893495118	0.377106845436708
TRPM5	-0.0541174468085106	0.882212978723404	-4.02287059387884	0.00011658080634312	0.000653533279354132	0.352253855747203
ATP10A	0.0835742553191489	0.176886063829787	4.01407273805659	0.000120348076517512	0.000667117982189411	0.322005159113715
MC2R	-0.0773951063829787	0.907799468085106	-4.01316944305439	0.000120741405630636	0.000667117982189411	0.31890209715329
TUSC3	0.0858919148936171	0.196320638297872	3.98896899287117	0.000131749475207047	0.000722739978278656	0.235950402535933
LCN2	-0.0744053191489362	0.866122872340426	-3.98571228243265	0.000133302252746281	0.000726071844745702	0.224814457101687
BLK	-0.0803259574468085	0.791653829787234	-3.98296058914379	0.000134627881579399	0.000728128260936468	0.215410374628081
PIK3R1	0.0189855319148937	0.89857085106383	3.97180070855461	0.000140134659236277	0.000752611316737487	0.177317951326585
EPO	0.101310638297872	0.128666808510638	3.96647351856977	0.000142838718988704	0.000761806501273086	0.159161184368432
SLC22A3	0.0969221276595744	0.161181276595745	3.93982494735834	0.000157131987516445	0.000832257699397448	0.068594526267578
OSM	-0.109375957446808	0.80729414893617	-3.92223210200436	0.000167306946932174	0.000880080378382943	0.00904290401838015
EPHA5	0.0606265957446809	0.089165	3.89216400205894	0.000186170705179605	0.000972646949509773	-0.0922952427187695
MMP3	-0.0484265957446808	0.886121170212766	-3.86595447800967	0.000204255474836539	0.00105901011728653	-0.180171077772528
GNG7	-0.00983127659574468	0.961923510638298	-3.86428984231568	0.000205458994108975	0.00105901011728653	-0.185737833271928
DNAJC15	0.0585348936170213	0.135633829787234	3.85482153225659	0.000212434269506716	0.00108766345987438	-0.217368106777107
GAS7	0.0873974468085106	0.128692553191489	3.84794416484826	0.000217641853070388	0.00110450629336057	-0.240307744210192
TIE1	0.0758840425531914	0.776833510638298	3.84600750024774	0.000219130141845543	0.00110450629336057	-0.246762184287998
RAN	-0.0968953191489362	0.67644829787234	-3.84483181491406	0.000220038363130426	0.00110450629336057	-0.250679313580519
FABP3	0.131034255319149	0.281663085106383	3.80941668092812	0.000249141869872611	0.00124247374066341	-0.368266763078485
PGR	-0.0498904255319149	0.845861595744681	-3.80041290237282	0.000257106101470733	0.00126867135301814	-0.398035230211526
IHH	0.0945112765957447	0.145615	3.79715275302093	0.000260049206380648	0.00126867135301814	-0.40880131275425
KRT5	-0.0613055319148935	0.908652978723404	-3.79654449428974	0.000260601853596727	0.00126867135301814	-0.410809235228484
MMP8	-0.0543572340425532	0.880608191489362	-3.79610407981267	0.000261002700230295	0.00126867135301814	-0.412262940405411
PENK	0.0835448936170213	0.30775585106383	3.79270776112887	0.000264113674099103	0.00127571887866736	-0.423469252171908
IL12B	-0.0335672340425532	0.905389787234043	-3.75125975629044	0.00030503969379742	0.00146419053022762	-0.559635956176019
ELL	-0.0868031914893617	0.404277765957447	-3.74537517916558	0.000311317762024943	0.00148504373437985	-0.578879004805759
PLA2G2A	-0.0668663829787234	0.778321063829787	-3.73765432410309	0.000319741486492514	0.00151581149152007	-0.604093042293254
FRK	-0.100182765957447	0.687407340425532	-3.73148983447004	0.000326622332856532	0.00153893221861237	-0.624196872255295
CD1A	-0.0225287234042553	0.949974787234043	-3.71991518961405	0.0003399241359791	0.00159183985629237	-0.661878190913135
EGR4	-0.0501402127659574	0.388515638297872	-3.70946960081487	0.000352369034173752	0.00164011768633601	-0.695809445437789
NBL1	-0.0829217021276595	0.763141489361702	-3.70128503746161	0.000362421407793605	0.00167674482641861	-0.722346579559845
RASGRF1	0.0148678723404255	0.0450656382978723	3.69733250383234	0.000367372946272992	0.00168947558525543	-0.735146451640017
CCNA1	0.143183829787234	0.177002553191489	3.68839407829259	0.000378808591676261	0.00173169641909148	-0.764055126456443
LTA	-0.0866855319148936	0.818436382978723	-3.67163320385217	0.000401169289779745	0.00182306517485706	-0.818122698699725
CREBBP	-0.0733934042553191	0.844699042553192	-3.66096406831189	0.000416049577983467	0.00187956515230178	-0.85244369921974
HSPA2	-0.027813829787234	0.885875	-3.64588977872539	0.000437968797595013	0.0019555998832181	-0.900808080057196
TMEFF2	0.108510638297872	0.163587659574468	3.64588703137123	0.000437972890512388	0.0019555998832181	-0.90081688105502
IGFBP2	0.0851672340425532	0.126724680851064	3.64090312908546	0.0004454577677974	0.00197752350097343	-0.916774353946823
JAG1	-0.0305436170212766	0.132614787234043	-3.63457595591305	0.000455134812314867	0.00200887089573459	-0.937009128994601
JAK3	0.0981568085106383	0.148421595744681	3.6321043385797	0.000458968873665708	0.00201421768557294	-0.944906372049703
NTRK3	0.0755797872340425	0.0718809574468085	3.61765250715963	0.000482007185167363	0.00210330408073031	-0.991001629377984
KIAA0125	-0.0445661702127659	0.880412446808511	-3.61485833602769	0.000486586115147103	0.00211128890640099	-0.999897908455715
TDG	-0.041098085106383	0.805812446808511	-3.5674365860549	0.000570870065835299	0.00246307983461522	-1.15009052502926
HDAC9	0.107370212765957	0.22136914893617	3.54984667723441	0.000605509334277577	0.0025979394900848	-1.20541838470235
HIC2	0.0587312765957447	0.0779424468085106	3.5443613998693	0.000616711669034796	0.00263130312121513	-1.2226294092389
MAGEL2	-0.0460736170212766	0.893364255319149	-3.54101997336192	0.000623631445216759	0.00264612679517387	-1.23310379139309
KDR	0.0537648936170212	0.0972398936170213	3.53121389395448	0.000644365091516335	0.0027190790674975	-1.26379946740953
GPATC3	-0.0727689361702128	0.790160425531915	-3.52258885921406	0.000663138409902252	0.00275799316253101	-1.29074445866351
WNT2	0.0942059574468085	0.163778510638298	3.52257549772049	0.000663167889480533	0.00275799316253101	-1.29078616152214
LCK	-0.0227668085106382	0.897991489361702	-3.52203549800383	0.000664360332120101	0.00275799316253101	-1.29247146566389
SEPT5.	0.108393617021277	0.348917659574468	3.5113980895323	0.000688267163249219	0.00284187731922258	-1.32562985171032
TFF1	-0.0701534042553191	0.806489893617021	-3.4879968626724	0.000743749506178732	0.00305454342644527	-1.39830444138653
PRSS8	-0.0746087234042553	0.833402659574468	-3.46616231659816	0.000799300377634445	0.00326522707459178	-1.46577674627407
AFP	-0.0251644680851065	0.904033510638298	-3.44551885285577	0.000855399454819807	0.00345286395406864	-1.52926793876956
CDKN1C	0.0769246808510638	0.14588914893617	3.44433770039267	0.000858718937589748	0.00345286395406864	-1.53289183900869
NGFB	0.0704657446808511	0.227252234042553	3.44433729750968	0.0008587200719103	0.00345286395406864	-1.53289307493227
FGF6	-0.0250078723404255	0.920002446808511	-3.44137492112522	0.000867098944579594	0.00346839577831837	-1.54197773009558
ETV1	0.0875876595744681	0.142244893617021	3.43187804488987	0.000894482387602894	0.00355939105533172	-1.57106080688887
WNT10B	0.119977659574468	0.515853085106383	3.42696076336318	0.000908978985450712	0.00359843227229972	-1.58609494575235
PARP1	-0.0650689361702128	0.793723617021277	-3.42260994289154	0.000921989790689896	0.00361912299010586	-1.59938324561093
OPCML	0.0854114893617021	0.13901085106383	3.42206544955625	0.000923630346433266	0.00361912299010586	-1.60104531830817
ZNF215	0.0736493617021277	0.123784042553191	3.41204926152813	0.000954303706823908	0.00372033120223737	-1.63158323485141
SERPINB2	-0.0142344680851062	0.942265744680851	-3.40702013497786	0.000970063887243849	0.00376267204749129	-1.64689009232614
MYLK	-0.0578244680851064	0.303016276595745	-3.40189139628355	0.000986388230146707	0.00380676462689785	-1.66248205009348
GUCY2D	0.0915008510638297	0.0995387234042553	3.39695977088535	0.00100232861024194	0.00384894186332904	-1.67745752063434
IL18BP	0.059172340425532	0.730172553191489	3.38261080175224	0.0010500975270537	0.00401231293919027	-1.72093358065499
VAV1	-0.117921489361702	0.535893936170213	-3.38068017591864	0.00105668572538109	0.0040134940606165	-1.7267722428485
TDGF1	-0.0528968085106383	0.799371808510638	-3.3794632303837	0.0010608584561265	0.0040134940606165	-1.73045123257914
DES	0.0766034042553191	0.157799361702128	3.36901029787211	0.00109734333788413	0.00412126565435762	-1.76200923097473
RASSF1	0.119242553191489	0.122566808510638	3.36824019321416	0.00110007742075952	0.00412126565435762	-1.76433119838595
RIPK1	0.0509434042553191	0.842013404255319	3.36336218137319	0.00111754492237411	0.00416638106982193	-1.7790294036489
HLA-DQA2	-0.050401914893617	0.671287978723404	-3.30454260359509	0.00134973305531033	0.00500770524868761	-1.95494423357451
CSF3	0.0462608510638298	0.851896808510638	3.28670866345562	0.001428617044069	0.00527489370117783	-2.00779761657187
TNF	-0.0130731914893617	0.946498723404255	-3.28406772138111	0.00144065923977902	0.00529390572320712	-2.01560518718884
PRKCDBP	0.0857929787234042	0.0997713829787234	3.26279150780547	0.00154120045960921	0.00563639025228511	-2.07832378786968
PDGFRB	0.0692172340425532	0.173159042553191	3.25295918002676	0.00158984863496992	0.00578674763818437	-2.10719843726083
IRAK3	0.0966474468085106	0.0944645744680851	3.24287158359327	0.00164124986608681	0.00594565989223899	-2.13675069115935
THBS2	0.0577261702127659	0.0746503191489362	3.23409329627934	0.00168723973956386	0.00608356863842745	-2.162407748314
PRDM2	-0.0297036170212766	0.908236276595745	-3.2321257437391	0.00169771176810561	0.00609272260703323	-2.16815087770293
NTRK2	0.107812553191489	0.113180106382979	3.22558611017259	0.0017329561498062	0.00617815753709579	-2.18721951053584
KCNK4	0.0900874468085106	0.350835638297872	3.22441225521661	0.00173935438568769	0.00617815753709579	-2.19063903982216
MEST	-0.0719889361702127	0.209311063829787	-3.22326092453151	0.00174565128326795	0.00617815753709579	-2.19399198878268
CCND1	-0.0140974468085106	0.0822817021276596	-3.21760902096223	0.00177687292222535	0.0062598091938948	-2.21043780327524
NGFR	0.0670374468085106	0.155009787234043	3.21070007335741	0.00181574699634733	0.0063675511104783	-2.23051000199538
TGFB2	0.0833876595744681	0.202516595744681	3.20625366836089	0.00184118371605962	0.00642740497242632	-2.24340965072584
MAPK4	-0.0539478723404255	0.804015212765957	-3.20143867858857	0.00186910395349308	0.00649534767548725	-2.25736247479813
RET	0.0235289361702128	0.0821787234042553	3.19185745465129	0.00192584105969706	0.00666236907138443	-2.28507684947952
MMP14	0.107392553191489	0.538394361702128	3.17822225010238	0.00200935947590425	0.00692012590804693	-2.3244027078437
RUNX1T1	0.117227234042553	0.416525106382979	3.17539667194758	0.00202708390497134	0.00695000195990172	-2.33253515688297
NCL	-0.0419695744680851	0.912132872340426	-3.15788886585398	0.00214019796149963	0.00730520904191874	-2.38279553568093
BDNF	0.064733829787234	0.207607340425532	3.154026101575	0.00216593377126973	0.00736034131121748	-2.39385438855929
MMP9	-0.0479293617021276	0.881547234042553	-3.14710186816668	0.00221278955455035	0.0074864421933686	-2.41365071095298
ADCYAP1	0.0458159574468085	0.0750601063829787	3.14020203381684	0.00226041768587017	0.00761403852082583	-2.43334234026335
PI3	-0.13054	0.720136595744681	-3.13415281535351	0.00230295751068645	0.00769176619957567	-2.45057764478149
CYP1B1	0.102048936170213	0.276870212765957	3.13407300154557	0.00230352373164376	0.00769176619957567	-2.45080486902094
SFTPC	-0.0553008510638298	0.721119574468085	-3.11765034649413	0.00242282590475533	0.00805510950152421	-2.49745937170471
SEMA3B	0.048728085106383	0.17486	3.10994071033969	0.00248079223142891	0.00819016011862892	-2.51929288249461
RAD54B	-0.0368012765957447	0.154662553191489	-3.10862330031198	0.00249082546812626	0.00819016011862892	-2.52301937104444
SEMA3A	0.0826363829787234	0.186042021276596	3.10801912344332	0.00249543941114475	0.00819016011862892	-2.52472794595975
FGF12	0.101908723404255	0.221263085106383	3.09521511630295	0.0025951080325662	0.00848103391068442	-2.56087346929366
