	GSM484148	GSM484150	GSM484151	GSM484152	GSM484153	GSM484159	GSM484160	GSM484161	GSM484162	GSM484163	GSM484164	GSM484165	GSM484166	GSM484167	GSM484168	GSM484169	GSM484170	GSM484172	GSM484173	GSM484174	GSM484175	GSM484176	GSM484177	GSM484178	GSM484179	GSM484180	GSM484181	GSM484182	GSM484183	GSM484184	GSM484185	GSM484186	GSM484187	GSM484188	GSM484189	GSM484190	GSM484191	GSM484192	GSM484193	GSM484194	GSM484196	GSM484197	GSM484198	GSM484199	GSM484200	GSM484202	GSM484203	GSM689005	GSM689006	GSM689007	GSM689008	GSM689009	GSM689010	GSM689011	GSM689012	GSM689013	GSM689014	GSM689015	GSM689016	GSM689017	GSM689018	GSM689019	GSM689020	GSM689021	GSM689022	GSM689023	GSM689024	GSM689025	GSM689026	GSM689027	GSM689028	GSM689029	GSM689030	GSM689031	GSM689032	GSM689033	GSM689034	GSM689035	GSM689036	GSM689037	GSM689038	GSM689039	GSM689040	GSM689041	GSM689042	GSM689043	GSM689044	GSM689045	GSM689046	GSM689047	GSM689048	GSM689049	GSM689050	GSM689051
ACVR1	0.85362	0.76625	0.70706	0.67668	0.83867	0.62117	0.58017	0.808	0.58127	0.74982	0.7898	0.69316	0.76355	0.6825	0.70269	0.69186	0.63969	0.60858	0.79844	0.62953	0.75911	0.77915	0.7401	0.73336	0.79822	0.7901	0.76645	0.72559	0.60533	0.59177	0.6781	0.59785	0.83217	0.73947	0.7159	0.77999	0.78377	0.73048	0.79794	0.77223	0.80742	0.79846	0.7036	0.73204	0.74628	0.72493	0.48087	0.86452	0.83199	0.81026	0.27101	0.84458	0.47376	0.85726	0.85917	0.42045	0.8675	0.40384	0.84004	0.87611	0.2118	0.76206	0.66463	0.79448	0.86717	0.85169	0.81628	0.88256	0.8876	0.8671	0.91014	0.87377	0.87954	0.7576	0.70977	0.52735	0.82046	0.64703	0.86249	0.88665	0.84909	0.89146	0.8505	0.66199	0.84649	0.89313	0.82407	0.51759	0.85677	0.86294	0.78732	0.90899	0.8843	0.92709
ACVR1B	0.05656	0.04078	0.04846	0.04317	0.04705	0.04921	0.17154	0.04373	0.03464	0.06478	0.05736	0.02697	0.06301	0.04852	0.03871	0.03894	0.05788	0.06681	0.06033	0.06454	0.04811	0.04666	0.06158	0.04322	0.04147	0.03884	0.03967	0.04079	0.04518	0.04682	0.03801	0.05348	0.03852	0.04686	0.05227	0.0432	0.05502	0.03621	0.04404	0.05275	0.04122	0.04546	0.04051	0.02693	0.03853	0.03616	0.02689	0.05556	0.06601	0.04705	0.03876	0.04092	0.03513	0.03946	0.05386	0.02727	0.04195	0.03899	0.03464	0.03785	0.02814	0.07256	0.04344	0.05042	0.03333	0.04557	0.02768	0.03776	0.0459	0.07284	0.03525	0.07172	0.04278	0.03776	0.05021	0.0376	0.07527	0.03834	0.05161	0.03134	0.03178	0.05332	0.05774	0.03328	0.04877	0.04043	0.06903	0.05765	0.08604	0.07777	0.06356	0.06613	0.05652	0.02785
ACVR1C	0.14992	0.09894	0.11302	0.15074	0.24266	0.12865	0.08159	0.13018	0.09741	0.10549	0.09382	0.13019	0.09327	0.11701	0.09937	0.0927	0.09435	0.09735	0.15807	0.08692	0.14902	0.09412	0.1049	0.10094	0.08675	0.11035	0.093	0.10108	0.10254	0.11908	0.09214	0.12609	0.14088	0.14321	0.13183	0.12246	0.08755	0.11522	0.09898	0.16043	0.13759	0.14239	0.13423	0.17505	0.11029	0.11669	0.27963	0.17952	0.09531	0.11083	0.08022	0.18404	0.09859	0.06384	0.10097	0.04533	0.0976	0.12396	0.10877	0.10732	0.07319	0.10584	0.08172	0.07964	0.11915	0.09836	0.07576	0.10205	0.03937	0.11119	0.1142	0.10073	0.09598	0.18258	0.12378	0.07658	0.13451	0.08454	0.07998	0.09216	0.0955	0.08239	0.12569	0.10215	0.12532	0.09854	0.12349	0.11446	0.13044	0.06245	0.11656	0.11098	0.13061	0.05128
ACVR2B	0.04575	0.04296	0.04163	0.05095	0.04741	0.04383	0.0437	0.04305	0.0462	0.05482	0.03713	0.03577	0.04287	0.05995	0.02767	0.03139	0.03192	0.0373	0.05371	0.04215	0.05514	0.04373	0.03765	0.04985	0.05956	0.04624	0.04089	0.04336	0.04162	0.07721	0.04596	0.03368	0.03637	0.05093	0.03972	0.03939	0.0328	0.03277	0.03739	0.05251	0.03948	0.05964	0.04716	0.02977	0.04478	0.04452	0.03334	0.02792	0.04272	0.03826	0.05328	0.03859	0.03665	0.03919	0.04204	0.05777	0.04001	0.06257	0.04207	0.0335	0.0275	0.0424	0.04109	0.04813	0.05577	0.03364	0.04487	0.03752	0.03912	0.04063	0.0449	0.05664	0.05385	0.04888	0.06232	0.04904	0.04135	0.03906	0.03489	0.03773	0.02695	0.03405	0.06924	0.03628	0.05331	0.03787	0.0386	0.05593	0.05197	0.0313	0.05312	0.06346	0.0638	0.03976
ADAMTS12	0.49001	0.40169	0.43064	0.47824	0.51455	0.46341	0.28214	0.44267	0.3126	0.44825	0.30403	0.37843	0.37481	0.34624	0.39189	0.32503	0.27765	0.3299	0.52849	0.4101	0.55652	0.40638	0.34451	0.31425	0.43272	0.33389	0.29182	0.37784	0.33605	0.43818	0.34741	0.26538	0.40371	0.55046	0.32412	0.34324	0.34851	0.30227	0.3508	0.37756	0.41629	0.44763	0.43925	0.47235	0.45856	0.43759	0.32117	0.32641	0.35546	0.35569	0.20561	0.30954	0.23143	0.80395	0.258	0.69138	0.34059	0.32975	0.30412	0.30583	0.21085	0.45982	0.29239	0.48996	0.28331	0.51181	0.68314	0.22197	0.36154	0.45678	0.47015	0.46277	0.25101	0.32323	0.36124	0.21394	0.41798	0.68845	0.45068	0.67186	0.45372	0.38788	0.41044	0.42952	0.57628	0.6999	0.32908	0.57525	0.4536	0.30722	0.57853	0.32418	0.3565	0.44935
ADCYAP1	0.05384	0.04801	0.04291	0.03956	0.04306	0.04135	0.04439	0.05955	0.02903	0.06019	0.04745	0.04207	0.05016	0.03793	0.06487	0.03943	0.04729	0.05131	0.0638	0.09073	0.051	0.0527	0.05837	0.03387	0.20013	0.05293	0.03808	0.04395	0.03551	0.04936	0.03796	0.03613	0.087	0.03986	0.03948	0.05279	0.04968	0.05799	0.06797	0.05789	0.0503	0.04516	0.0529	0.04212	0.04273	0.04786	0.0305	0.07506	0.06773	0.07303	0.33908	0.10654	0.045	0.06847	0.04677	0.02617	0.07013	0.04291	0.03608	0.0894	0.0394	0.09433	0.0672	0.11308	0.03565	0.04743	0.19883	0.03803	0.01948	0.1383	0.03719	0.08274	0.0724	0.04694	0.06495	0.39832	0.07415	0.13161	0.05855	0.05123	0.14286	0.14158	0.06907	0.09824	0.09781	0.05822	0.04479	0.16079	0.07812	0.02833	0.14239	0.06918	0.03709	0.53985
AFF3	0.8502	0.86652	0.94947	0.92141	0.86375	0.91606	0.85202	0.86842	0.9312	0.85194	0.79492	0.93402	0.92181	0.90344	0.91085	0.91607	0.91851	0.92675	0.89999	0.93337	0.9399	0.92383	0.92077	0.88054	0.88772	0.86042	0.9171	0.89789	0.92581	0.89507	0.92878	0.93622	0.79243	0.93271	0.93626	0.92243	0.78612	0.91795	0.90518	0.89623	0.91737	0.91407	0.95317	0.91352	0.94605	0.90401	0.90424	0.75446	0.79486	0.76117	0.94522	0.77658	0.80532	0.94038	0.85874	0.74529	0.68525	0.81127	0.94585	0.73892	0.26716	0.82062	0.89526	0.87303	0.62566	0.76022	0.93943	0.87165	0.89773	0.84761	0.7222	0.88586	0.82851	0.93418	0.90011	0.6098	0.73225	0.90504	0.86686	0.64529	0.7248	0.80289	0.81717	0.54138	0.72409	0.88531	0.8774	0.8671	0.88679	0.91405	0.84621	0.57211	0.94972	0.95351
AFP	0.9352	0.89105	0.94398	0.91583	0.94197	0.91772	0.84317	0.9018	0.92117	0.89284	0.90936	0.90713	0.8976	0.88639	0.92286	0.90678	0.91541	0.90991	0.91157	0.89714	0.93006	0.93131	0.91228	0.90647	0.91513	0.91369	0.89314	0.91639	0.90919	0.89628	0.89274	0.91946	0.93458	0.93036	0.92582	0.9331	0.90257	0.9224	0.93495	0.92909	0.93515	0.93218	0.93029	0.9456	0.93856	0.93389	0.94738	0.92269	0.8967	0.91627	0.89229	0.92526	0.87947	0.91702	0.87086	0.89544	0.91897	0.87521	0.89116	0.90671	0.93141	0.89986	0.91859	0.88981	0.7933	0.89523	0.93267	0.92645	0.88896	0.89335	0.92987	0.91912	0.92629	0.9421	0.91095	0.88774	0.91968	0.86033	0.91221	0.65889	0.90292	0.86415	0.90588	0.84231	0.86302	0.91003	0.89822	0.84356	0.90986	0.88239	0.88712	0.90501	0.81551	0.92337
AGTR1	0.09773	0.10338	0.06518	0.0676	0.0972	0.08841	0.06582	0.53885	0.0738	0.15242	0.06968	0.09583	0.08671	0.09332	0.09021	0.05788	0.1021	0.13559	0.1131	0.07667	0.06347	0.11918	0.10456	0.0744	0.06945	0.11934	0.06318	0.07053	0.09249	0.07579	0.12112	0.07942	0.11498	0.11419	0.07434	0.08866	0.16141	0.07266	0.0985	0.09393	0.0806	0.06984	0.07687	0.10965	0.0836	0.08468	0.32669	0.19747	0.51166	0.12114	0.86435	0.13343	0.06753	0.10389	0.28243	0.88648	0.22312	0.51033	0.13922	0.16847	0.04159	0.17146	0.14767	0.10672	0.06894	0.15633	0.22495	0.06009	0.7095	0.2721	0.08527	0.10963	0.0748	0.04969	0.14501	0.05735	0.45251	0.10055	0.12704	0.69424	0.42797	0.10097	0.13226	0.37282	0.10228	0.20788	0.11135	0.7912	0.20922	0.10471	0.69872	0.12248	0.05158	0.86141
AGXT	0.96651	0.94044	0.96185	0.96289	0.96165	0.93819	0.86827	0.93138	0.96046	0.93871	0.93793	0.94421	0.92499	0.92527	0.95996	0.95273	0.94506	0.95551	0.92558	0.9344	0.96063	0.95483	0.9524	0.95712	0.95624	0.9412	0.9411	0.94022	0.95526	0.93677	0.95024	0.95602	0.96489	0.95555	0.959	0.95921	0.94035	0.95358	0.95689	0.95314	0.95629	0.96987	0.96204	0.94873	0.962	0.95731	0.96016	0.95808	0.93844	0.9325	0.84224	0.95445	0.92777	0.93228	0.93284	0.92246	0.95144	0.88492	0.94197	0.9317	0.91914	0.92757	0.94919	0.90738	0.87266	0.92557	0.94567	0.93167	0.91751	0.91542	0.92371	0.93737	0.92018	0.95678	0.92832	0.92492	0.93536	0.9302	0.94418	0.67261	0.94187	0.92855	0.90865	0.92647	0.85998	0.92574	0.91822	0.90981	0.92146	0.89726	0.90752	0.88313	0.94321	0.9139
AHR	0.03636	0.0288	0.02614	0.02672	0.03824	0.03198	0.03931	0.02939	0.02473	0.04351	0.02617	0.02977	0.02746	0.03893	0.02354	0.02521	0.02515	0.03157	0.03809	0.0591	0.02881	0.03246	0.03794	0.03093	0.03089	0.02842	0.02656	0.02341	0.03424	0.04047	0.03544	0.0322	0.03632	0.02764	0.03095	0.02641	0.03106	0.03228	0.03206	0.0352	0.02589	0.03582	0.03364	0.02211	0.02576	0.0262	0.02613	0.02948	0.03615	0.02535	0.0496	0.03275	0.03206	0.02642	0.0295	0.02519	0.02413	0.03144	0.02924	0.02897	0.02699	0.03455	0.0282	0.03242	0.02697	0.02427	0.02745	0.03057	0.02066	0.04186	0.03325	0.02577	0.03282	0.03636	0.01978	0.0274	0.0367	0.03439	0.02926	0.03065	0.03912	0.03485	0.04058	0.03741	0.06109	0.03905	0.03872	0.04706	0.03751	0.02624	0.03881	0.03884	0.04552	0.02117
AIM2	0.91545	0.84275	0.91716	0.9271	0.90054	0.88423	0.81158	0.90237	0.916	0.86776	0.90737	0.88574	0.84735	0.86873	0.91401	0.86125	0.87807	0.89436	0.85723	0.87315	0.89852	0.85806	0.89866	0.90417	0.9078	0.86742	0.86207	0.90244	0.85236	0.87402	0.8539	0.90852	0.92723	0.89156	0.90065	0.86122	0.83973	0.849	0.89097	0.91803	0.90151	0.91827	0.91511	0.89388	0.91527	0.92158	0.91614	0.86351	0.71701	0.83855	0.70698	0.88171	0.77274	0.94604	0.91659	0.61461	0.84337	0.8049	0.77173	0.85125	0.80548	0.85829	0.72039	0.81839	0.88301	0.63541	0.82679	0.91547	0.69377	0.81262	0.83234	0.83016	0.86467	0.93444	0.89718	0.7234	0.82426	0.78684	0.74248	0.66667	0.84175	0.8494	0.79255	0.89525	0.84781	0.83983	0.88327	0.66899	0.85759	0.80228	0.83926	0.933	0.94389	0.83954
AKT1	0.09142	0.0796	0.07233	0.0726	0.09978	0.08507	0.05506	0.06425	0.08386	0.09194	0.06084	0.09956	0.086	0.10249	0.06958	0.07592	0.08137	0.07079	0.09728	0.07017	0.08274	0.07558	0.0603	0.0863	0.07447	0.08849	0.07651	0.07244	0.089	0.09747	0.08179	0.07786	0.08747	0.08347	0.07504	0.06349	0.05609	0.09508	0.09468	0.11219	0.09421	0.08586	0.08725	0.07565	0.08691	0.09617	0.05073	0.10508	0.09282	0.07128	0.07981	0.07454	0.07313	0.06863	0.06943	0.05015	0.06317	0.07675	0.10223	0.09449	0.09434	0.0743	0.07396	0.07984	0.07701	0.04828	0.07628	0.06354	0.03377	0.08341	0.08143	0.09031	0.06962	0.06756	0.07116	0.04799	0.07708	0.08639	0.05606	0.36206	0.0582	0.09564	0.10114	0.09174	0.11119	0.10164	0.11558	0.09949	0.09654	0.05682	0.08113	0.0706	0.08202	0.07259
ALK	0.13397	0.12294	0.11099	0.11417	0.15175	0.12375	0.09122	0.12675	0.11533	0.18086	0.09705	0.12052	0.12193	0.14405	0.09898	0.0959	0.08949	0.13555	0.16155	0.16338	0.12106	0.11269	0.10212	0.12477	0.09649	0.12222	0.11358	0.11268	0.14229	0.12848	0.13582	0.10814	0.15173	0.1171	0.11789	0.12887	0.12952	0.11624	0.14969	0.15209	0.14032	0.12164	0.13791	0.11558	0.10252	0.12676	0.11323	0.1318	0.12684	0.11189	0.52113	0.12674	0.11671	0.09661	0.13048	0.07011	0.12821	0.10749	0.14565	0.12642	0.11222	0.13999	0.10722	0.11996	0.10044	0.09216	0.11509	0.10543	0.07282	0.15034	0.15232	0.1411	0.11337	0.09015	0.11697	0.09015	0.17714	0.13392	0.10901	0.08775	0.33528	0.10265	0.14048	0.11616	0.25262	0.13526	0.13417	0.5037	0.16903	0.09801	0.16412	0.11029	0.12045	0.1213
ALOX12	0.77144	0.79234	0.76016	0.70034	0.73166	0.70819	0.54425	0.63253	0.746	0.73524	0.60065	0.74436	0.37504	0.76954	0.75953	0.65616	0.80391	0.83531	0.77449	0.76239	0.77122	0.71738	0.74572	0.63201	0.54417	0.76774	0.38288	0.47489	0.69942	0.751	0.74857	0.72718	0.65111	0.76797	0.7465	0.62125	0.80274	0.64198	0.69027	0.73532	0.80452	0.71104	0.79555	0.67539	0.71048	0.5992	0.56243	0.81573	0.81738	0.70702	0.81113	0.64865	0.53255	0.46832	0.57355	0.86095	0.76916	0.36226	0.50063	0.77398	0.95734	0.72847	0.61953	0.77709	0.60416	0.88356	0.91492	0.52419	0.16276	0.80993	0.90063	0.78488	0.65306	0.33553	0.61738	0.39252	0.86869	0.30256	0.62099	0.90532	0.77612	0.57546	0.77703	0.31256	0.89621	0.43692	0.62869	0.77657	0.73243	0.5097	0.78138	0.2387	0.44314	0.34463
ALPL	0.04031	0.029	0.02875	0.0255	0.0252	0.024	0.03154	0.03114	0.02681	0.04215	0.02504	0.02847	0.02659	0.03825	0.0248	0.02507	0.0236	0.03018	0.03353	0.03717	0.02495	0.02617	0.0282	0.02782	0.02416	0.02771	0.02694	0.02693	0.03496	0.03478	0.02684	0.03235	0.02943	0.01926	0.02977	0.02494	0.03462	0.02819	0.02991	0.03737	0.02595	0.02986	0.0327	0.03286	0.02377	0.03065	0.02906	0.02541	0.03565	0.03416	0.03515	0.02791	0.02331	0.02605	0.03185	0.02144	0.0315	0.02819	0.02374	0.22847	0.02619	0.03779	0.0282	0.02977	0.07003	0.03114	0.02667	0.02949	0.01981	0.04312	0.04912	0.02364	0.02605	0.04125	0.02757	0.02307	0.04622	0.03266	0.02379	0.80078	0.05814	0.02948	0.03764	0.02857	0.04005	0.02989	0.03433	0.03798	0.04192	0.03268	0.41307	0.04308	0.04433	0.01956
AOC3	0.63551	0.46905	0.59313	0.57526	0.57568	0.4589	0.35148	0.44169	0.56119	0.43128	0.50593	0.53596	0.50524	0.46799	0.57782	0.48215	0.4869	0.52313	0.49779	0.51709	0.56939	0.53258	0.54587	0.53536	0.46066	0.5548	0.50331	0.58451	0.48182	0.53587	0.52952	0.55507	0.63248	0.57747	0.54253	0.60467	0.44338	0.54825	0.6028	0.66101	0.59411	0.62326	0.56971	0.65689	0.64164	0.5823	0.68575	0.52871	0.35818	0.45747	0.13344	0.51238	0.27669	0.43292	0.39403	0.23159	0.50859	0.25573	0.21147	0.39991	0.71499	0.38952	0.28118	0.30818	0.41018	0.31413	0.53836	0.34732	0.19003	0.37371	0.40018	0.40381	0.33147	0.42776	0.40545	0.28089	0.44148	0.42045	0.2961	0.61942	0.63347	0.54257	0.44165	0.58478	0.30051	0.28249	0.62236	0.46759	0.49535	0.29041	0.30344	0.23295	0.49049	0.74716
